date,age,all,male,female
1-Jan-00,0.317416552,0.317416552,0.317416552,0.317416552
1-Jan-00,0.317416552,0.317416552,0.317416552,0.317416552
1-Jan-00,0.317416552,0.317416552,0.317416552,0.317416552
1-Jan-00,0.317416552,0.317416552,0.317416552,0.317416552
1-Jan-00,0.317416552,0.317416552,0.317416552,0.317416552
1-Jan-00,0.317416552,0.317416552,0.317416552,0.317416552
1-Jan-00,0.317416552,0.317416552,0.317416552,0.317416552
1-Jan-00,0.317416552,0.317416552,0.317416552,0.317416552
1-Jan-00,0.163691062,0.163691062,0.163691062,0.163691062
1-Jan-00,0.182120024,0.182120024,0.182120024,0.182120024
1-Jan-00,0.182120024,0.182120024,0.182120024,0.182120024
1-Jan-00,0.182120024,0.182120024,0.182120024,0.182120024
1-Jan-00,0.171833295,0.171833295,0.171833295,0.171833295
1-Jan-00,0.246642496,0.246642496,0.246642496,0.246642496
1-Jan-00,0.213292451,0.213292451,0.213292451,0.213292451
1-Jan-00,0.145214897,0.145214897,0.145214897,0.145214897
1-Jan-00,0.197832258,0.197832258,0.197832258,0.197832258
1-Jan-00,0.23640673,0.23640673,0.23640673,0.23640673
1-Jan-00,0.17179744,0.17179744,0.17179744,0.17179744
1-Jan-00,0.155250467,0.155250467,0.155250467,0.155250467
1-Jan-00,0.158802378,0.158802378,0.158802378,0.158802378
1-Jan-00,0.195242265,0.195242265,0.195242265,0.195242265
1-Jan-00,0.167130595,0.167130595,0.167130595,0.167130595
1-Jan-00,0.167130595,0.167130595,0.167130595,0.167130595
1-Jan-00,0.257523994,0.257523994,0.257523994,0.257523994
1-Jan-00,0.108689958,0.108689958,0.108689958,0.108689958
1-Jan-00,0.150822063,0.150822063,0.150822063,0.150822063
1-Jan-00,0.114963585,0.114963585,0.114963585,0.114963585
1-Jan-00,0.144459266,0.144459266,0.144459266,0.144459266
1-Jan-00,0.167932835,0.167932835,0.167932835,0.167932835
1-Jan-00,0.167932835,0.167932835,0.167932835,0.167932835
1-Jan-00,0.190354518,0.190354518,0.190354518,0.190354518
1-Jan-00,0.155947141,0.155947141,0.155947141,0.155947141
1-Jan-00,0.161288499,0.161288499,0.161288499,0.161288499
1-Jan-00,0.194172471,0.194172471,0.194172471,0.194172471
1-Jan-00,0.196383027,0.196383027,0.196383027,0.196383027
1-Jan-00,0.162374182,0.162374182,0.162374182,0.162374182
1-Jan-00,0.219773736,0.219773736,0.219773736,0.219773736
1-Jan-00,0.192029315,0.192029315,0.192029315,0.192029315
1-Jan-00,0.353830869,0.353830869,0.353830869,0.353830869
1-Jan-00,0.33422175,0.33422175,0.33422175,0.33422175
1-Jan-00,0.33422175,0.33422175,0.33422175,0.33422175
1-Jan-00,0.353830869,0.353830869,0.353830869,0.353830869
1-Jan-00,0.358633442,0.358633442,0.358633442,0.358633442
1-Jan-00,0.358633442,0.358633442,0.358633442,0.358633442
1-Jan-00,0.346655547,0.346655547,0.346655547,0.346655547
1-Jan-00,0.111801033,0.111801033,0.111801033,0.111801033
1-Jan-00,0.358633442,0.358633442,0.358633442,0.358633442
1-Jan-00,0.374743537,0.374743537,0.374743537,0.374743537
1-Jan-00,0.118710514,0.118710514,0.118710514,0.118710514
1-Jan-00,0.066642175,0.066642175,0.066642175,0.066642175
1-Jan-00,0.130167797,0.130167797,0.130167797,0.130167797
1-Jan-00,0.080022758,0.080022758,0.080022758,0.080022758
1-Jan-00,0.150138001,0.150138001,0.150138001,0.150138001
1-Jan-00,0.100821497,0.100821497,0.100821497,0.100821497
1-Jan-00,0.101487858,0.101487858,0.101487858,0.101487858
1-Jan-00,0.33422175,0.33422175,0.33422175,0.33422175
1-Jan-00,0.364615175,0.364615175,0.364615175,0.364615175
1-Jan-00,0.086477652,0.086477652,0.086477652,0.086477652
1-Jan-00,0.350588995,0.350588995,0.350588995,0.350588995
1-Jan-00,0.350588995,0.350588995,0.350588995,0.350588995
1-Jan-00,0.163578488,0.163578488,0.163578488,0.163578488
1-Jan-00,0.081259285,0.081259285,0.081259285,0.081259285
1-Jan-00,0.350588995,0.350588995,0.350588995,0.350588995
1-Jan-00,0.061385992,0.061385992,0.061385992,0.061385992
1-Jan-00,0.176792256,0.176792256,0.176792256,0.176792256
1-Jan-00,0.173892071,0.173892071,0.173892071,0.173892071
1-Jan-00,0.173892071,0.173892071,0.173892071,0.173892071
1-Jan-00,0.350588995,0.350588995,0.350588995,0.350588995
1-Jan-00,0.147959095,0.147959095,0.147959095,0.147959095
1-Jan-00,0.256156254,0.256156254,0.256156254,0.256156254
1-Jan-00,0.178993515,0.178993515,0.178993515,0.178993515
1-Jan-00,0.178993515,0.178993515,0.178993515,0.178993515
1-Jan-00,0.29012157,0.29012157,0.29012157,0.29012157
1-Jan-00,0.351379384,0.351379384,0.351379384,0.351379384
1-Jan-00,0.351379384,0.351379384,0.351379384,0.351379384